msa,msa_name,sprawl_1976_92,sprawl_1992,sprawl_1976,central_empl_1977,streetcar_1902,avg_dec_popgr1920_70,sd_dec_popgr1920_70,pc_aquifer_fringe,pc_aquifer_msa,elevat_range_fringe,elevat_range_msa,ruggedness_fringe,ruggedness_msa,cooling_dd,heating_dd,pc_incorp_fringe,pc_incorp_msa,pc_transfers,rest_bars,road_density,popgr_1970_90,herfindahl_incorp,latitude,longitude,division
3040,"Great Falls, MT MSA",61.85,33.62,32.92,23.89015,0,43.58038,49.67023,55.70843,43.45022,498,1772,5.554344,20.69255,236.4,8021.2,.5394801,.6434466,23.1,2.030258,.177072,-4.980248,.731569,47.30803,-111.3472,8
3080,"Green Bay, WI MSA",58.40,33.71,33.12,23.455,0,20.76978,5.28387,41.2498,42.42766,128,128,2.707301,2.645177,381,8089,7.68,11.38836,46.2,1.889487,1.422536,22.97086,.4766444,44.45252,-88.00397,3
3120,"Greensboro--Winston-Salem--High Point, NC MSA",69.64,52.94,51.45,23.19673,0,22.65513,8.884964,100,100,642,642,5.806187,5.760755,1324,3678.29,2.550967,6.228104,44.69661,1.166339,.8984191,25.25673,.1551074,35.99997,-80.03912,5
3150,"Greenville, NC MSA",72.99,65.94,67.12,23.57971,0,10.28581,5.466371,15.04937,14.97876,31,31,.8713636,.8726553,1561,3129,2.742124,3.639515,61.8,1.231394,1.005263,46.0406,.3570169,35.59351,-77.37467,5
3160,"Greenville-Spartanburg-Anderson, SC MSA",75.20,55.97,52.86,22.21703,0,14.38138,3.293974,100,100,914,914,9.789678,9.570521,1418.7,3350.2,2.39015,4.450322,44.75977,1.210416,.9677326,34.94316,.0671901,34.83485,-82.30145,5
3240,"Harrisburg-Lebanon-Carlisle, PA MSA",67.23,46.88,47.24,23.10394,0,11.42651,3.277196,100,100,569,601,13.60147,14.61506,766.25,5650.5,1.916141,3.193874,36.15493,1.409,1.251271,15.22563,.0535891,40.33391,-76.986,2
3283,"Hartford, CT NECMA",53.67,41.34,42.23,22.67278,0,20.52909,7.321546,41.47965,45.6863,426,426,10.75784,10.28001,499.667,6400.67,4.798112,6.457831,21.37265,1.334309,1.334765,8.568657,.2808532,41.7346,-72.5773,1
3285,"Hattiesburg, MS MSA",55.43,41.95,42.04,22.62354,0,16.66448,6.997673,0,0,103,113,4.579545,4.656709,2265,2180,2.663116,3.822153,41.65,1.3414,.9544125,35.15015,.3438151,31.19762,-89.38721,6
3290,"Hickory-Morganton-Lenoir, NC MSA",76.59,61.66,58.10,21.76996,0,20.61949,4.206418,100,100,1492,1492,17.73486,18.49664,1215.33,3673,2.552987,4.299363,54.51308,1.07299,.8470127,28.58682,.1125108,35.81313,-81.45466,5
3350,"Houma, LA MSA",83.65,65.39,62.50,25.37351,0,20.74396,9.244041,0,0,4,4,.0579861,.0570153,2622.5,1497,.5565423,.6578292,47.24164,1.213877,.5709611,26.10663,.3907254,29.47115,-90.6648,7
